regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
 Calarasi;MDA.7_1;2022;4;5182;5182;0;0;127.0;132.0;1.013.315.322.269.390;17.751.833.269.008.100;5251.0;9199.0;0;0;0;0;7.038.024.326.667.530;6.694.108.894.939.330;0;6.0
 Calarasi;MDA.7_1;2022;5;5182;5182;0;0;141.0;151.0;11.482.053.261.289.000;2.003.473.562.331.140;5950.0;10382.0;0;0;0;0;7.373.507.846.871.520;7.239.012.855.089.270;0;6.0
 Calarasi;MDA.7_1;2022;6;5182;5182;0;0;129.0;92.0;13.363.566.190.659.900;35.256.657.661.134.600;6925.0;18270.0;0;0;0;0;6.927.934.860.998.730;60.010.948.192.752.100;5.0;7.0
 Calarasi;MDA.7_1;2022;7;5182;5182;0;0;134.0;116.0;0.9395986105750675;11.576.611.346.970.200;4869.0;5999.0;0;0;0;0;6.439.399.157.834.170;6.016.704.375.523.650;0;5.0
 Calarasi;MDA.7_1;2022;8;5182;5182;0;0;130.0;122.0;1.016.402.933.230.410;28.936.703.975.299.100;5267.0;14995.0;0;0;0;0;63.324.165.508.089.600;5.901.585.987.912.120;0;6.0
 Calarasi;MDA.7_1;2022;9;5182;5182;0;0;119.0;108.0;10.027.016.595.908.900;1.455.615.592.435.350;5196.0;7543.0;0;0;0;0;6.412.158.615.635.890;58.823.420.021.936.700;0;5.0
 Calarasi;MDA.7_1;2022;10;5182;5182;0;0;121.0;100.0;0.7969895793130065;10.167.888.846.005.400;4130.0;5269.0;0;0;0;0;5.591.256.079.452.320;50.678.442.196.030.800;0;0
 Calarasi;MDA.7_1;2022;11;5182;5182;0;0;98.0;42.0;0.5712080277884987;12.213.431.107.680.400;2960.0;6329.0;0;0;0;0;3.722.246.436.353.970;32.090.762.665.828.100;0;5.0
 Calarasi;MDA.7_1;2022;12;5182;5182;0;0;92.0;56.0;0.5592435353145504;368.448.475.492.088;2898.0;19093.0;0;0;0;5.0;36.599.818.896.263.100;3.744.109.810.582.020;0;6.0
 Cantemir;MDA.8_1;2022;1;7092;7092;0;0;198.0;156.0;0.7884940778341794;2.344.613.649.182.170;5592.0;16628.0;0;0;0;0;5.161.994.245.505.360;5.779.919.391.059.520;0;6.0
